GEOID,tract_name,borough,area_sqmi,ksi_total,crash_count,lpi_count,hump_count,sip_count,bike_lane_miles,investment_density,svi_composite,svi_socioeconomic,svi_household,svi_minority,svi_housing,R_norm,I_norm,gap_score,biv_class,biv_color,safety_desert
36005008500,Longwood,Bronx,0.07052526810881135,349.0,886.0,6.0,0.0,2.0,0.6640403919731264,326.06838945269584,0.9808,0.9848,0.8909,0.9555,0.9631,0.07373758715402493,0.29642596466924154,-0.2226883775152166,33,#3b4994,False
36005008300,Longwood,Bronx,0.08312703471457522,317.0,911.0,7.0,3.0,0.0,0.5843114152403195,299.2584447198947,0.965,0.9783,0.8845,0.9265,0.9,0.0669765476442003,0.2720532748065753,-0.20507672716237502,33,#3b4994,False
36005009301,Hunts Point,Bronx,0.22065190465234388,970.0,2659.0,5.0,7.0,2.0,2.804808411361321,136.8998498546208,0.9776,0.9645,0.9426,0.9072,0.9405,0.20494401014155927,0.12445447448722262,0.08048953565433666,33,#3b4994,True
36005009302,Hunts Point,Bronx,0.6845268984766643,960.0,2515.0,0.0,0.0,0.0,1.7941258904732202,3.931458123411602,,,,0.8112,,0.20283118529473906,0.003574054721296674,0.19925713057344238,,#cccccc,False
36005001902,Mott Haven-Port Morris,Bronx,0.18147463160934868,1733.0,4940.0,1.0,1.0,1.0,2.506727724637783,53.78212646253903,0.9443,0.9789,0.6587,0.8199,0.9563,0.3661525459539404,0.04889286798202226,0.3172596779719182,33,#3b4994,True
36047049100,East Williamsburg,Brooklyn,0.08229085777122051,396.0,1145.0,8.0,0.0,1.0,0.4424009331554395,324.0165690563283,0.8685,0.7447,0.9394,0.7313,0.7615,0.08366786393407986,0.29456067241769224,-0.21089280848361236,33,#3b4994,False
36047050700,South Williamsburg,Brooklyn,0.0673509593227195,625.0,1444.0,5.0,1.0,0.0,0.452085454759253,247.6301503327339,0.8236,0.8894,0.4479,0.218,0.923,0.13205155292626242,0.225118437014941,-0.09306688408867858,33,#3b4994,False
36005006000,West Farms,Bronx,0.1306879255902014,871.0,2364.0,1.0,0.0,0.0,0.6204263807425441,30.076531962402836,0.9093,0.8656,0.927,0.977,0.6878,0.1840270441580393,0.027342316180434114,0.1566847279776052,33,#3b4994,True
36005015700,Crotona Park East,Bronx,0.12062930634068422,226.0,894.0,11.0,6.0,1.0,2.4256978254554733,370.04728031937725,0.9795,0.9605,0.9633,0.9555,0.9249,0.04774984153813649,0.3364067955989769,-0.2886569540608404,32,#5698b9,False
36047016800,Bath Beach,Brooklyn,0.06429820009970699,283.0,602.0,0.0,3.0,0.0,0.2622191183838664,52.77486262933918,0.275,0.2574,0.7474,0.5127,0.0979,0.059792943165011624,0.04797717310606735,0.011815770058944276,13,#be64ac,False
36005021301,University Heights (South)-Morris Heights,Bronx,0.023706891111246447,165.0,415.0,0.0,0.0,1.0,0.32967434499981163,105.22305543118355,0.9713,0.9464,0.9259,0.967,0.9329,0.03486160997253328,0.0956573734853211,-0.06079576351278783,32,#5698b9,False
36005000400,Soundview-Clason Point,Bronx,0.30697039698938205,127.0,411.0,4.0,0.0,0.0,2.968954548853402,53.59940888322602,0.6871,0.6128,0.8518,0.8803,0.3235,0.026832875554616522,0.04872676100427811,-0.02189388544966159,21,#ace4e4,False
36005008400,Castle Hill-Unionport,Bronx,0.06008230162980395,23.0,118.0,0.0,0.0,0.0,0.6438516845545074,16.074243173678372,0.8016,0.7649,0.7547,0.9161,0.5926,0.004859497147686457,0.014612956033804178,-0.00975345888611772,21,#ace4e4,False
36081044000,South Jamaica,Queens,0.14568054451545775,203.0,660.0,4.0,1.0,0.0,0.0,89.23634959794241,0.6837,0.9091,0.7007,0.9391,0.0585,0.04289034439045003,0.08112399689381503,-0.038233652503364995,22,#a5add3,False
36047001801,Sunset Park (West),Brooklyn,0.18435671314705898,964.0,2903.0,11.0,0.0,0.0,0.04777453721920096,179.38951742672893,,,,0.7562,,0.20367631523346716,0.16308146534542342,0.04059484988804374,,#cccccc,False
36047001802,Sunset Park (West),Brooklyn,0.22939274365356657,291.0,873.0,5.0,0.0,0.0,0.0,65.39003702163001,,,,,,0.06148320304246778,0.05944551950107422,0.0020376835413935604,,#cccccc,False
36005020502,University Heights (South)-Morris Heights,Bronx,0.03900088056285144,88.0,322.0,0.0,1.0,0.0,0.37986149676892345,40.250174419103274,0.9894,0.9694,0.8622,0.9415,0.9937,0.01859285865201775,0.03659108691987706,-0.01799822826785931,31,#5ac8c8,False
36061000600,Chinatown-Two Bridges,Manhattan,0.09315247451885175,352.0,842.0,3.0,2.0,2.0,1.8816662728426894,191.32609736155962,0.9677,0.9671,0.8894,0.8441,0.95,0.074371434608071,0.1739329073633778,-0.0995614727553068,33,#3b4994,False
36047053700,South Williamsburg,Brooklyn,0.06465952916672842,1085.0,3084.0,9.0,0.0,0.0,0.40691113791238914,427.01156446211695,0.781,0.9141,0.2187,0.0123,0.9401,0.22924149587999154,0.38819253572253487,-0.15895103984254333,23,#8c62aa,False
