"the_geom","MainStreet","CrossStree","Install_Da","LONG","LAT","X","Y"
"POINT (-73.79271591580851 40.755500929137014)","Utopia Pkwy","45 Avenue","2017-12-02T00:00:00","-73.7927159158085","40.755500929137","1041677.99996123","214593.999995559"
"POINT (-73.79299781431487 40.73796244124723)","Utopia Pkwy","64 Avenue","2017-12-02T00:00:00","-73.7929978143149","40.7379624412472","1041615.00008722","208203.999980316"
"POINT (-73.79321697205347 40.73478440222965)","Utopia Pkwy","67 Avenue","2017-12-02T00:00:00","-73.7932169720535","40.7347844022296","1041556.99987514","207045.999999732"
"POINT (-73.7933389760756 40.732676644036005)","Utopia Pkwy","69 Avenue","2017-12-02T00:00:00","-73.7933389760756","40.732676644036","1041524.99993914","206277.999895304"
"POINT (-73.79352390877659 40.73005298267479)","Utopia Pkwy","73 Avenue","2017-12-02T00:00:00","-73.7935239087766","40.7300529826747","1041476.00003713","205321.999838814"
"POINT (-73.79283981078821 40.72842959938049)","Utopia Pkwy","75 Avenue","2017-12-02T00:00:00","-73.7928398107882","40.7284295993804","1041666.99998322","204731.000036567"
"POINT (-73.81732349542838 40.76535506016632)","Northern Boulevard","149 Street","2018-06-02T00:00:00","-73.8173234954284","40.7653550601663","1034853.0001598","218169.00006339"
"POINT (-73.81516496255075 40.7652665304107)","Northern Boulevard","150 Street","2018-06-02T00:00:00","-73.8151649625508","40.7652665304107","1035450.99994805","218138.000125393"
"POINT (-73.81099340175489 40.76470532257455)","Northern Boulevard","154 Street","2018-06-02T00:00:00","-73.8109934017549","40.7647053225745","1036606.99993263","217935.999873221"
"POINT (-73.80643119003477 40.7631936257132)","Northern Boulevard","159 Street","2018-06-02T00:00:00","-73.8064311900348","40.7631936257132","1037872.0000273","217387.99998498"
"POINT (-73.80552599614265 40.76289017855765)","Northern Boulevard","160 Street","2018-06-02T00:00:00","-73.8055259961426","40.7628901785576","1038122.99985339","217277.999876887"
"POINT (-73.80463163073478 40.76258948827055)","Northern Boulevard","161 Street","2018-06-02T00:00:00","-73.8046316307348","40.7625894882705","1038371.00001356","217169.000094891"
"POINT (-73.80287340398392 40.761447421623735)","Northern Boulevard","163 Street","2018-06-02T00:00:00","-73.8028734039839","40.7614474216237","1038859.0000218","216753.999940649"
"POINT (-73.8020485780667 40.76083667307061)","Northern Boulevard","164 Street","2018-06-02T00:00:00","-73.8020485780667","40.7608366730706","1039087.99989189","216532.000056565"
"POINT (-73.80030124619086 40.759702819675184)","Northern Boulevard","166 Street","2018-06-02T00:00:00","-73.8003012461909","40.7597028196752","1039572.99990614","216119.999896303"
"POINT (-73.797604111209 40.758742939321856)","Northern Boulevard","169 Street","2018-06-02T00:00:00","-73.797604111209","40.7587429393218","1040321.00005056","215771.999936149"
"POINT (-73.79580489526528 40.758092003172614)","Northern Boulevard","171 Street","2018-06-02T00:00:00","-73.7958048952653","40.7580920031726","1040820.00003681","215536.000080064"
"POINT (-73.7940264636056 40.757734763866445)","Northern Boulevard","172 Street","2018-06-02T00:00:00","-73.7940264636056","40.7577347638664","1041313.00003505","215407.000009984"
"POINT (-73.78942749252211 40.75784721797624)","Northern Boulevard","192 Street","2018-06-02T00:00:00","-73.7894274925221","40.7578472179762","1042587.00011171","215450.999921978"
"POINT (-73.78849613607873 40.757872959238)","Northern Boulevard","193 Street","2018-06-02T00:00:00","-73.7884961360787","40.757872959238","1042844.99992381","215460.99990198"
"POINT (-73.78107211653051 40.757592848964116)","Northern Boulevard","202 Street","2018-06-02T00:00:00","-73.7810721165305","40.7575928489641","1044902.00007489","215364.000095978"
